BrandName,ItemName,Qty,Price,Category,SKU
Lana Bar 5000 Puffs,TGY,50,6.5,Disposable,LANABAR-001
Lana Pen 2000 Puffs,MANGO MILKSHAKE,50,6.5,Disposable,LANAPEN-001
